user_id,movie_id,rating,title,action,adventure,animation,comedy,drama,fantasy,filmnoir,horror,imax,musical,mystery,other,romance,scifi,thriller,war,western
3,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
99,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
97,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
96,1,3.5,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
91,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
90,1,3.5,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
82,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
80,1,3.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
69,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
66,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,4.5,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
58,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,1,1.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1,3.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1,3.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,1,3.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,4.5,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1,4.5,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1,4.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1,5.0,Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,3.5,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,2,3.5,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2,1.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,2,3.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2,3.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,2,3.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2,3.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2,3.0,Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,4.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
96,3,4.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
75,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,3,4.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,3,5.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,3.0,Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
41,4,2.0,Waiting to Exhale (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
61,4,3.0,Waiting to Exhale (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
12,5,2.0,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5,3.0,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,3.0,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5,3.0,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,2.5,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,2.0,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,6,5.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,6,4.5,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,6,2.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,6,5.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,6,5.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,6,5.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,6,4.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,6,3.0,Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,7,5.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,7,2.5,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88,7,1.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80,7,3.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,7,5.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,7,3.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,7,3.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,7,5.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,7,3.5,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,7,3.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,7,3.0,Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,8,3.0,Tom and Huck (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9,4.0,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,9,3.0,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,10,3.5,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,10,2.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,10,3.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,10,5.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,10,3.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,10,3.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,10,3.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,10,2.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,10,3.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,10,2.5,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,10,4.0,GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,11,5.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
91,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
87,11,3.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
69,11,3.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
58,11,4.5,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
56,11,3.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
54,11,5.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
46,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
40,11,3.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
38,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
29,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
27,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
15,11,3.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
13,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
10,11,4.0,"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
